Quantity,Avg Price,Avg Mileage
420,30135.44523809524,19787.795238095237
89,4787.7191011235955,112891.60674157304
58,6249.586206896552,74706.5172413793
29,6397.862068965517,90873.13793103448
15,6051.533333333334,83458.33333333333
11,8557.727272727272,78056.81818181818
8,5320.25,73804.0
11282,14094.963393015423,51810.84213791881
5058,11575.603795966785,45067.04804270463
1133,8868.425419240953,59457.98587819947
606,18706.326732673268,36355.40594059406
243,4278.481481481482,122560.39094650206
114,26058.035087719298,30138.22807017544
51,3577.549019607843,133156.9411764706
47,4179.489361702128,128964.68085106384
1,1600.0,228490.0
4333,19744.096699746133,65392.52088622202
2699,21664.052241570953,53621.13264171915
1380,23796.236231884057,63314.668115942026
1038,25225.077071290943,84876.8246628131
65,11442.076923076924,84140.63076923077
3,5449.0,195755.0
6827,19767.67057272594,43137.26278013769
1204,16235.775747508305,64984.30315614618
804,33488.022388059704,27606.330845771143
623,6829.215088282504,110171.00481540931
170,4331.888235294117,113977.17647058824
157,6328.891719745223,109532.3821656051
12,4662.75,73588.0
681,42134.54185022027,24565.10866372981
249,45951.06024096385,28446.453815261044
7042,11678.564328315819,63338.95526838966
6130,15358.375530179444,54305.66101141925
112,3246.535714285714,133675.76785714287
47,2397.531914893617,145228.87234042553
19,3383.2631578947367,143919.57894736843
9368,26239.262596071734,35957.3183176772
6158,31428.734654108477,41008.35628450796
2096,49349.40744274809,46572.056297709925
1558,24941.793966623878,30305.215019255455
253,34921.84584980237,3621.4268774703555
156,34379.01282051282,44332.89102564102
8,17482.5,22243.0
4,4954.0,183994.0
2,1495.0,170010.0
723,5252.434301521438,103169.54771784232
578,6184.278546712802,108075.40830449827
312,4224.74358974359,115321.10256410256
160,4067.675,122133.9875
31,4217.903225806452,127431.0
17,4293.117647058823,104312.76470588235
5,12352.2,64750.0
1408,13179.923295454546,65894.05539772728
492,4374.473577235773,142984.40650406503
214,10058.383177570093,23743.22429906542
63,24458.74603174603,56682.04761904762
16,4368.25,115922.0625
6,2872.1666666666665,91091.0
5,9990.0,24099.0
21060,13401.849810066476,58623.05584045584
14557,12102.480387442467,46090.94099058872
6201,17801.63860667634,59374.52830188679
3201,9784.41237113402,50530.250234301784
2,3257.0,104192.0
5,9407.4,52281.4
2,10991.0,94195.0
125,3470.8,135624.968
95,3073.9894736842107,142450.54736842104
27,4658.333333333333,178544.25925925927
24,4344.625,152600.875
12,4922.666666666667,137167.5
10,3676.5,137370.0
10,1348.3,178778.0
8,3837.5,157375.0
6,28314.666666666668,118268.66666666667
5,2759.0,94846.4
3,2926.3333333333335,65712.66666666667
1,2977.0,98380.0
8,1159.5,188927.75
2,3987.0,66232.0
1362,4863.828193832599,148721.31938325992
1209,4627.561621174525,145816.58891645988
253,3505.4505928853755,136819.1462450593
234,12203.311965811965,105827.77777777778
194,4173.283505154639,148009.12886597938
6,1837.3333333333333,154324.33333333334
2,6995.0,101485.0
590,57239.977966101695,37170.715254237286
12,153790.16666666666,15034.166666666666
2,159481.5,22866.5
131,5387.702290076336,117177.6641221374
78,5681.538461538462,110732.48717948717
526,3845.8574144486693,123183.55703422053
440,5351.202272727272,115632.37954545455
92,2846.8478260869565,125362.73913043478
39,3600.8205128205127,117171.15384615384
36,3292.777777777778,97057.11111111111
34,3289.9117647058824,109518.26470588235
29,2900.9310344827586,157138.93103448275
21,3391.2380952380954,102110.95238095238
17,6749.64705882353,87206.94117647059
13,1568.8461538461538,173289.15384615384
6,2943.0,96145.0
6371,17115.50478731753,44697.13247527861
2708,26017.326809453472,30806.23670605613
2559,15891.077373974209,49185.26103946854
13,8413.076923076924,86329.38461538461
5,6738.0,58165.0
43,7663.093023255814,77850.32558139534
23,3410.3478260869565,77151.34782608696
14,3450.4285714285716,126589.0
10,1906.1,108700.4
6,4989.333333333333,103849.0
21,45221.71428571428,8487.380952380952
22293,14114.638765531781,67550.6998609429
15487,11941.187705817783,60985.10783237554
3996,16258.593843843844,75551.80955955957
1732,9707.825635103925,106605.92551963049
384,7450.981770833333,99624.71614583333
373,13354.466487935657,22482.455764075068
295,11541.562711864406,35171.95593220339
273,7302.81684981685,107851.56410256411
193,21015.963730569947,9412.041450777202
102,26369.63725490196,13819.137254901962
80,3709.5375,170190.4375
30,12738.4,75470.33333333333
17292,12637.99427480916,55947.840677770066
17130,11354.569527145359,55288.178692352594
699,14104.688125894134,47275.203147353364
16,6293.375,100432.6875
11,35882.818181818184,12359.272727272728
9,2843.4444444444443,184048.11111111112
8,7206.25,126107.125
3105,19210.543639291467,44939.00193236715
849,36529.831566548884,21132.36042402827
397,9796.750629722921,95681.47355163727
325,6180.0646153846155,100423.99384615384
59,25481.98305084746,26708.84745762712
11,3669.7272727272725,101115.72727272728
9,5550.555555555556,246679.22222222222
6,6371.0,64678.0
6,2992.6666666666665,116708.0
2,2991.0,196407.0
1,1000.0,167544.0
