,Model Year,Make,Model,Sold Price,Mileage
398,2020,bmw,series,61200,7509
399,2006,buick,door,0,137464
400,2014,bmw,series,13500,33542
401,2015,ford,door,6490,74754
402,2017,ford,door,51502,27661
403,2010,ford,door,250,115241
404,1984,ford,door,25,41577
405,2015,honda,van,8160,109027
406,2014,jeep,door,7770,72732
407,2001,jeep,door,200,126400
408,2008,audi,door,25,177422
409,1995,chevrolet,door,0,274706
410,2008,bmw,coupe,1825,77984
411,2017,bmw,series,39800,23177
412,2015,ford,door,9210,26911
413,2019,ford,srw,58500,21527
414,2014,ford,door,125,56461
415,2015,honda,door,3960,95128
416,2014,hyundai,doors,5998,122975
417,2014,honda,doors,3700,162824
418,2008,kia,wagon,0,148463
419,2005,audi,door,0,181896
420,2000,bmw,door,0,216657
421,2012,gmc,door,5000,140339
422,2019,infiniti,mpv,15050,26786
423,2019,hyundai,doors,3960,35623
424,2019,lincoln,nautilus,36300,14541
425,2020,lexus,gx,55600,8186
426,2018,nissan,doors,2630,36739
427,2017,nissan,mpv,5690,42616
428,2017,audi,q5,19500,65833
429,2008,chevrolet,coupe,450,123515
430,2015,cadillac,door,20400,36122
431,2011,chevrolet,door,4320,88359
432,2017,ford,f-150,33001,35905
433,2017,ford,door,10000,35747
434,2004,ford,door,0,167011
435,2012,gmc,door,5790,105020
436,2019,infiniti,mpv,14750,11047
437,2019,hyundai,doors,4010,31233
438,2019,mercedes-benz,gle,40000,19427
439,2017,kia,sportage,13000,71991
440,2018,nissan,doors,3550,29043
441,2017,nissan,doors,3040,36064
442,2008,chevrolet,coupe,0,270080
443,2015,audi,5,36400,47213
444,2011,ford,door,4480,116480
445,2017,ford,door,31003,72084
446,2001,ford,pickup,75,295780
447,2011,gmc,door,8850,148035
448,2019,infiniti,mpv,14750,11396
449,2019,hyundai,mpv,4690,33785
450,2018,land,sport,23000,20103
451,2018,land,discovery,46900,32387
452,2018,mercedes-benz,doors,10740,48140
453,2017,nissan,doors,3160,34861
454,2006,chevrolet,door,0,268040
455,2011,chrysler,door,3450,114119
456,2017,ford,f-150,27102,34165
457,2018,gmc,door,500,27442
458,2011,gmc,door,5100,144792
