,Model Year,Make,Model,Sold Price,Mileage,Base MSRP
1206,2019,ford,f-150,40000.0,12247.0,0.0
1207,2019,ford,f-150,29500.0,10808.0,0.0
1208,2019,ford,f-150,23000.0,11263.0,0.0
1209,2019,ford,f-150,44500.0,17484.0,0.0
1210,2019,ford,f-150,23100.0,9539.0,0.0
1211,2019,ford,f-150,37000.0,2384.0,0.0
1212,2019,ford,f-150,23000.0,13896.0,0.0
1213,2019,ford,f-150,26500.0,9451.0,0.0
1214,2019,ford,f-150,31000.0,10028.0,0.0
1215,2019,ford,f-150,43600.0,15141.0,0.0
1216,2019,ford,f-150,22600.0,18431.0,0.0
1217,2019,ford,f-150,26000.0,9604.0,0.0
1218,2019,ford,f-150,23200.0,9516.0,0.0
1219,2019,ford,f-150,29000.0,9718.0,0.0
1220,2019,ford,f-150,22800.0,16506.0,0.0
1221,2019,ford,f-150,31000.0,11028.0,0.0
1222,2019,ford,f-150,22900.0,11313.0,0.0
1223,2019,ford,f-150,28000.0,12886.0,0.0
1224,2019,ford,f-150,23200.0,9556.0,0.0
1225,2019,ford,f-150,27000.0,13269.0,0.0
1226,2019,ford,f-150,22800.0,16770.0,0.0
1227,2019,ford,f-150,31500.0,13526.0,0.0
1228,2019,ford,f-150,28000.0,11437.0,0.0
1229,2019,ford,f-150,24900.0,13035.0,0.0
1230,2019,ford,f-150,28700.0,13673.0,0.0
1231,2019,ford,f-150,31000.0,13230.0,0.0
1232,2019,ford,f-150,28500.0,13516.0,0.0
1233,2019,ford,f-150,28500.0,11763.0,0.0
1234,2019,ford,f-150,31000.0,13458.0,0.0
1235,2019,ford,f-150,28500.0,14004.0,0.0
1236,2019,ford,f-150,28500.0,13405.0,0.0
1237,2019,ford,f-150,25000.0,12688.0,0.0
1238,2019,ford,f-150,28500.0,12260.0,0.0
1239,2019,ford,f-150,29400.0,18982.0,0.0
1240,2019,ford,f-150,24700.0,23795.0,0.0
1241,2019,ford,f-150,29500.0,15964.0,0.0
1242,2019,ford,f-150,25800.0,28117.0,0.0
1243,2019,ford,f-150,23900.0,21055.0,0.0
1244,2019,ford,f-150,22900.0,27794.0,0.0
1245,2019,ford,f-150,29500.0,16625.0,0.0
1246,2019,ford,f-150,24500.0,27689.0,0.0
1247,2019,ford,f-150,22400.0,31727.0,0.0
1248,2019,ford,f-150,28000.0,18418.0,0.0
1249,2019,ford,f-150,25100.0,21346.0,0.0
1250,2019,ford,f-150,10500.0,22001.0,0.0
1251,2019,ford,f-150,28500.0,14358.0,0.0
1252,2019,ford,f-150,39950.0,9278.0,0.0
1253,2019,ford,f-150,29000.0,11669.0,0.0
1254,2019,ford,f-150,23400.0,12198.0,0.0
1255,2019,ford,f-150,22900.0,15656.0,0.0
1256,2019,ford,f-150,22900.0,15821.0,0.0
1257,2019,ford,f-150,23500.0,6711.0,0.0
1258,2019,ford,f-150,34500.0,28938.0,0.0
1259,2019,ford,f-150,34500.0,25046.0,0.0
1260,2019,ford,f-150,36000.0,17301.0,0.0
1261,2019,ford,f-150,25500.0,27136.0,0.0
1262,2019,ford,f-150,33700.0,35221.0,0.0
1263,2019,ford,f-150,33400.0,33808.0,0.0
1264,2019,ford,f-150,34000.0,32022.0,0.0
1265,2019,ford,f-150,30000.0,19055.0,0.0
1266,2019,ford,f-150,30600.0,15422.0,0.0
1267,2019,ford,f-150,25700.0,17828.0,0.0
1268,2019,ford,f-150,28800.0,21976.0,0.0
1269,2019,ford,f-150,24200.0,51589.0,0.0
1270,2019,ford,f-150,26500.0,11734.0,0.0
1271,2019,ford,f-150,31800.0,26591.0,0.0
1272,2019,ford,f-150,24500.0,22906.0,0.0
1273,2019,ford,f-150,26000.0,33462.0,0.0
1274,2019,ford,f-150,22500.0,33717.0,0.0
1275,2019,ford,f-150,23100.0,23512.0,0.0
1276,2019,ford,f-150,22600.0,14291.0,0.0
1277,2019,ford,f-150,22900.0,16725.0,0.0
1278,2019,ford,f-150,22800.0,13002.0,0.0
1279,2019,ford,f-150,22700.0,18902.0,0.0
1280,2019,ford,f-150,23000.0,9732.0,0.0
1281,2019,ford,f-150,22700.0,18947.0,0.0
1282,2019,ford,f-150,23000.0,8402.0,0.0
1283,2019,ford,f-150,34400.0,17450.0,0.0
1284,2019,ford,f-150,23100.0,15848.0,0.0
1285,2019,ford,f-150,23300.0,10770.0,0.0
1286,2019,ford,f-150,22600.0,14587.0,0.0
1287,2019,ford,f-150,23000.0,10916.0,0.0
1288,2019,ford,f-150,23000.0,10655.0,0.0
1289,2019,ford,f-150,32000.0,17310.0,0.0
1290,2019,ford,f-150,59975.0,71.0,0.0
1291,2019,ford,f-150,59975.0,174.0,0.0
1292,2019,ford,f-150,28900.0,24795.0,0.0
1293,2019,ford,f-150,27100.0,28692.0,0.0
1294,2019,ford,f-150,26000.0,19793.0,0.0
1295,2019,ford,f-150,39000.0,8404.0,0.0
1296,2019,ford,f-150,26900.0,31713.0,0.0
1297,2019,ford,f-150,32000.0,17867.0,0.0
1298,2019,ford,f-150,29100.0,21054.0,0.0
1299,2019,ford,f-150,31000.0,13600.0,0.0
1300,2019,ford,f-150,29300.0,17000.0,0.0
1301,2019,ford,f-150,31000.0,9741.0,0.0
1302,2019,ford,f-150,28000.0,12155.0,0.0
1303,2018,chevrolet,impala,13500.0,53194.0,0.0
1304,2016,chevrolet,van,14700.0,34454.0,0.0
1305,2015,chevrolet,colorado,7700.0,94150.0,0.0
1306,2015,chevrolet,colorado,8900.0,85072.0,0.0
1307,2015,chevrolet,van,7200.0,80711.0,0.0
1308,2013,chevrolet,sonic,1500.0,66079.0,0.0
1309,2019,chevrolet,sonic,10200.0,7654.0,0.0
1310,2019,chevrolet,colorado,14000.0,11564.0,0.0
1311,2015,chevrolet,corvette,36900.0,29937.0,0.0
1312,2014,acura,mdx,16900.0,63500.0,0.0
1313,2016,buick,encore,13500.0,19655.0,0.0
1314,2019,buick,enclave,37500.0,12406.0,0.0
1315,2019,ford,flex,26211.0,17977.0,0.0
1316,2019,ford,flex,24205.0,22805.0,0.0
1317,2019,ford,flex,27111.0,14382.0,0.0
1318,2019,ford,flex,27411.0,9660.0,0.0
1319,2019,ford,flex,27302.0,18969.0,0.0
1320,2019,ford,flex,26311.0,15847.0,0.0
1321,2019,ford,flex,27511.0,11836.0,0.0
1322,2019,ford,flex,26511.0,18196.0,0.0
